0.280776 2.24515
0.280838 1.86178
0.280776 2.22393
0.280776 2.10987
0.999984 1.52892
0.280776 2.1269
0.280776 2.2972
0.631481 1.78799
0.992975 1.56846
1 1.46764
0.999999 1.51179
0.280776 2.08792
0.810467 1.72541
0.990997 1.65235
0.995367 1.53559
0.280805 2.03693
0.280777 2.03847
0.989106 1.69287
1 1.50637
0.280806 1.99741
0.280776 2.06045
0.631673 1.80817
0.280776 2.1325
0.995389 1.61298
1 1.51489
0.280776 2.133
0.280777 2.09047
0.280776 2.1631
0.280846 2.01144
0.801665 1.79316
0.280776 2.30874
0.280777 2.06996
0.82618 1.73392
0.992216 1.65775
0.995344 1.62877
0.853796 1.73034
0.999956 1.56037
0.280814 2.02494
0.280776 2.13274
0.280776 2.28413
0.999998 1.54693
0.28084 2.02365
0.995687 1.60491
0.631073 1.8916
0.280776 2.24541
0.280776 2.24977
0.995643 1.61278
0.280784 2.04042
0.280776 2.12279
0.994978 1.64001
0.281066 1.89686
0.633262 1.80266
0.280913 1.95415
0.280776 2.32008
0.991703 1.71396
0.280848 1.98071
0.814846 1.79011
0.996066 1.58221
0.999967 1.55058
0.280793 2.09107
0.83148 1.75393
0.280776 2.15412
0.999985 1.56165
0.280795 2.0777
0.996417 1.62409
0.7496 1.80718
0.280776 2.14928
0.995976 1.63345
0.634545 1.87322
0.281424 1.93274
0.993697 1.66214
0.725663 1.84978
1 1.52337
0.280776 2.30279
0.992416 1.71838
0.280776 2.21572
0.280777 2.09992
0.825373 1.7991
0.280777 2.11723
0.630767 1.90147
1 1.52026
0.280776 2.26882
0.280776 2.3406
0.280806 2.04275
0.280776 2.48468
0.999977 1.56399
0.280776 2.1253
0.992882 1.70217
0.99308 1.69396
0.632933 1.87497
0.280997 1.99365
0.990708 1.73342
0.732089 1.83441
0.827976 1.77102
0.280967 2.02663
1 1.53825
0.63215 1.89395
0.280776 2.30902
0.995221 1.65871
0.635097 1.86903
0.999231 1.60296
0.998802 1.61662
0.280776 2.15374
0.995149 1.65918
0.280778 2.09755
0.631825 1.89634
0.280858 2.03403
0.990319 1.75551
0.736887 1.8419
0.280776 2.2785
0.999431 1.62235
0.280776 2.17011
0.999999 1.57298
0.9953 1.6611
1 1.55306
0.999989 1.60197
0.630745 1.95905
0.280778 2.13323
0.63076 1.94464
0.996462 1.6597
0.280776 2.37391
0.994357 1.66637
0.280776 2.15123
0.862455 1.75728
0.837455 1.76257
0.284332 1.96211
0.280795 2.09337
0.99935 1.64045
0.830228 1.79321
0.280778 2.11967
0.280776 2.31917
0.280795 2.11246
0.999323 1.64054
0.994009 1.69301
0.991148 1.74427
0.630815 1.93309
0.280806 2.05826
0.280776 2.2166
0.999998 1.59302
0.280776 2.16598
0.282978 2.00035
0.726154 1.87712
0.280776 2.33821
0.637801 1.87764
0.83412 1.77579
0.993424 1.72448
0.280805 2.08016
0.821135 1.81091
1 1.56421
1 1.57271
0.630833 1.90961
0.991297 1.74129
0.280776 2.45612
0.280829 2.04859
